Last 30 Days,452204.20,-4980.2,-1.09%,721092
June 2020,457184.42,-27004.60,-5.58%,733294
May 2020,484189.02,-9111.25,-1.85%,793135
April 2020,493300.27,56152.91,+12.85%,801121
March 2020,437147.36,31168.71,+7.68%,743933
February 2020,405978.65,27053.22,+7.14%,663812
January 2020,378925.43,-5254.32,-1.37%,616415
December 2019,384179.76,-17752.05,-4.42%,685165
November 2019,401931.80,13575.94,+3.50%,708517
October 2019,388355.86,-33615.38,-7.97%,739924
September 2019,421971.24,-45177.05,-9.67%,753996
August 2019,467148.29,2360.67,+0.51%,826690
July 2019,464787.61,-42740.82,-8.42%,779160
June 2019,507528.44,-40994.74,-7.47%,865374
May 2019,548523.18,28304.20,+5.44%,997341
April 2019,520218.98,-66286.87,-11.30%,971545
March 2019,586505.85,21596.18,+3.82%,1033925
February 2019,564909.67,89162.67,+18.74%,964921
January 2019,475747.00,36379.17,+8.28%,874888
December 2018,439367.83,-21705.66,-4.71%,765422
November 2018,461073.48,29899.57,+6.93%,826053
October 2018,431173.91,-35296.83,-7.57%,739643
September 2018,466470.74,-9630.34,-2.02%,826166
August 2018,476101.08,34386.73,+7.78%,829281
July 2018,441714.35,-32185.65,-6.79%,701582
June 2018,473900.00,-425.87,-0.09%,796886
May 2018,474325.87,43984.93,+10.22%,844713
April 2018,430340.94,-6921.40,-1.58%,733214
March 2018,437262.35,-1585.37,-0.36%,773897
February 2018,438847.72,-48014.20,-9.86%,779299
January 2018,486861.91,-26212.42,-5.11%,778627
December 2017,513074.33,25693.09,+5.27%,864939
November 2017,487381.24,21254.45,+4.56%,861173
October 2017,466126.79,-25323.37,-5.15%,832550
September 2017,491450.16,-65046.14,-11.69%,829555
August 2017,556496.30,58051.92,+11.65%,876395
July 2017,498444.38,-56844.70,-10.24%,824297
June 2017,555289.07,-12237.35,-2.16%,923122
May 2017,567526.42,27248.39,+5.04%,972876
April 2017,540278.03,-8157.41,-1.49%,921318
March 2017,548435.44,-43131.81,-7.29%,956232
February 2017,591567.25,11285.78,+1.94%,1040877
January 2017,580281.47,-13639.13,-2.30%,1007451
December 2016,593920.60,9669.27,+1.65%,1014671
November 2016,584251.33,-55103.82,-8.62%,1007270
October 2016,639355.14,16771.24,+2.69%,1141191
September 2016,622583.90,-43429.15,-6.52%,1064377
August 2016,666013.05,27800.40,+4.36%,1117519
July 2016,638212.65,-2014.33,-0.31%,1084198
June 2016,640226.98,16428.30,+2.63%,1095994
May 2016,623798.67,-33145.70,-5.05%,1075307
April 2016,656944.37,-15610.52,-2.32%,1164041
March 2016,672554.89,-36623.36,-5.16%,1291328
February 2016,709178.26,97003.48,+15.85%,1248394
January 2016,612174.78,38830.53,+6.77%,1067949
December 2015,573344.25,33807.92,+6.27%,999452
November 2015,539536.33,17594.62,+3.37%,943635
October 2015,521941.72,13784.86,+2.71%,917306
September 2015,508156.85,-98787.12,-16.28%,888728
August 2015,606943.98,51952.97,+9.36%,933942
July 2015,554991.01,-13457.32,-2.37%,877264
June 2015,568448.32,-11900.10,-2.05%,913997
May 2015,580348.42,54286.70,+10.32%,967674
April 2015,526061.73,-45651.42,-7.99%,929677
March 2015,571713.15,-57257.26,-9.10%,1213940
February 2015,628970.41,70466.07,+12.62%,1262612
January 2015,558504.33,34564.01,+6.60%,961737
December 2014,523940.32,-4849.48,-0.92%,936583
November 2014,528789.80,33096.77,+6.68%,963810
October 2014,495693.04,17694.59,+3.70%,880655
September 2014,477998.45,-12885.44,-2.62%,864261
August 2014,490883.89,-46134.77,-8.59%,774319
July 2014,537018.66,23235.60,+4.52%,874975
June 2014,513783.06,31395.81,+6.51%,833145
May 2014,482387.24,60677.03,+14.39%,843024
April 2014,421710.21,11954.66,+2.92%,734998
March 2014,409755.56,-11358.65,-2.70%,698197
February 2014,421114.20,27253.88,+6.92%,738682
January 2014,393860.32,27253.83,+7.43%,673496
December 2013,366606.49,18360.12,+5.27%,685503
November 2013,348246.37,18568.73,+5.63%,702792
October 2013,329677.64,17252.88,+5.52%,581615
September 2013,312424.76,-18295.30,-5.53%,566715
August 2013,330720.07,92919.98,+39.07%,520532
July 2013,237800.08,27575.26,+13.12%,422617
June 2013,210224.82,15860.98,+8.16%,326160
May 2013,194363.84,19528.11,+11.17%,325815
April 2013,174835.73,-6043.17,-3.34%,299667
March 2013,180878.90,13905.93,+8.33%,325598
February 2013,166972.97,19224.82,+13.01%,283870
January 2013,147748.14,25823.72,+21.18%,260989
December 2012,121924.42,20846.99,+20.62%,213521
November 2012,101077.43,25111.99,+33.06%,169631
October 2012,75965.44,14097.77,+22.79%,171860
September 2012,61867.68,6099.07,+10.94%,118724
August 2012,55768.61,3047.56,+5.78%,108689
